market_date,endpoint_id,metric_name,metric_value,value_unit,dimension_json,raw_response_id
2023-04-25,10150,实时/日前申报均价,384.803300,NULL,{},6996
2023-04-25,10152,日前平均出清均价,476.770000,NULL,{},6994
2023-04-25,10155,实时平均出清均价,413.440000,NULL,{},6995
2023-04-26,10150,实时/日前申报均价,413.436700,NULL,{},7005
2023-04-26,10152,日前平均出清均价,410.120000,NULL,{},7003
2023-04-26,10155,实时平均出清均价,420.200000,NULL,{},7004
2023-04-27,10150,实时/日前申报均价,397.440000,NULL,{},7014
2023-04-27,10152,日前平均出清均价,456.250000,NULL,{},7012
2023-04-27,10155,实时平均出清均价,460.510000,NULL,{},7013
2023-04-28,10150,实时/日前申报均价,390.700000,NULL,{},7023
2023-04-28,10152,日前平均出清均价,1718.250000,NULL,{},7021
2023-04-28,10155,实时平均出清均价,441.200000,NULL,{},7022
2023-07-26,10150,实时/日前申报均价,418.680000,NULL,{},7824
2023-07-26,10152,日前平均出清均价,1429.260000,NULL,{},7822
2023-07-26,10155,实时平均出清均价,1102.010000,NULL,{},7823
2023-10-24,10150,实时/日前申报均价,164.576700,NULL,{},8634
2023-10-24,10152,日前平均出清均价,287.700000,NULL,{},8632
2023-10-24,10155,实时平均出清均价,299.210000,NULL,{},8633
2023-10-25,10150,实时/日前申报均价,159.990000,NULL,{},8643
2023-10-25,10152,日前平均出清均价,387.020000,NULL,{},8641
2023-10-25,10155,实时平均出清均价,446.730000,NULL,{},8642
2023-10-26,10150,实时/日前申报均价,154.063300,NULL,{},8652
2023-10-26,10152,日前平均出清均价,402.780000,NULL,{},8650
2023-10-26,10155,实时平均出清均价,374.890000,NULL,{},8651
2023-12-13,10150,实时/日前申报均价,190.320000,NULL,{},9084
2023-12-13,10152,日前平均出清均价,249.820000,NULL,{},9082
2023-12-13,10155,实时平均出清均价,273.310000,NULL,{},9083
2023-12-14,10150,实时/日前申报均价,169.540000,NULL,{},9093
2023-12-14,10152,日前平均出清均价,86.670000,NULL,{},9091
2023-12-14,10155,实时平均出清均价,150.550000,NULL,{},9092
2023-12-15,10150,实时/日前申报均价,178.030000,NULL,{},9102
2023-12-15,10152,日前平均出清均价,133.830000,NULL,{},9100
2023-12-15,10155,实时平均出清均价,113.850000,NULL,{},9101
2023-12-16,10152,日前平均出清均价,310.180000,NULL,{},9109
2024-03-09,10155,实时平均出清均价,339.940000,NULL,{},9866
2024-03-10,10150,实时/日前申报均价,186.440000,NULL,{},9876
2024-03-10,10152,日前平均出清均价,268.740000,NULL,{},9874
2024-03-10,10155,实时平均出清均价,226.930000,NULL,{},9875
2024-03-11,10150,实时/日前申报均价,198.530000,NULL,{},9885
2024-03-11,10152,日前平均出清均价,415.040000,NULL,{},9883
2024-03-11,10155,实时平均出清均价,301.760000,NULL,{},9884
2024-03-12,10150,实时/日前申报均价,194.200000,NULL,{},9894
2024-03-12,10152,日前平均出清均价,350.080000,NULL,{},9892
2024-03-12,10155,实时平均出清均价,357.190000,NULL,{},9893
2024-03-13,10150,实时/日前申报均价,196.540000,NULL,{},9903
2024-03-13,10152,日前平均出清均价,396.160000,NULL,{},9901
2024-03-13,10155,实时平均出清均价,401.160000,NULL,{},9902
2024-03-14,10150,实时/日前申报均价,185.660000,NULL,{},9912
2024-03-14,10152,日前平均出清均价,266.170000,NULL,{},9910
2024-03-14,10155,实时平均出清均价,224.010000,NULL,{},9911
2024-03-15,10150,实时/日前申报均价,183.810000,NULL,{},9921
2024-03-15,10152,日前平均出清均价,236.630000,NULL,{},9919
2024-03-15,10155,实时平均出清均价,238.170000,NULL,{},9920
2024-03-16,10150,实时/日前申报均价,183.830000,NULL,{},9930
2024-03-16,10152,日前平均出清均价,470.700000,NULL,{},9928
2024-03-16,10155,实时平均出清均价,366.350000,NULL,{},9929
2024-03-17,10150,实时/日前申报均价,181.090000,NULL,{},9939
2024-03-17,10152,日前平均出清均价,353.680000,NULL,{},9937
2024-03-17,10155,实时平均出清均价,354.630000,NULL,{},9938
2024-03-18,10150,实时/日前申报均价,170.830000,NULL,{},9948
2024-03-18,10152,日前平均出清均价,139.560000,NULL,{},9946
2024-03-23,10150,实时/日前申报均价,171.550000,NULL,{},9993
2024-03-24,10150,实时/日前申报均价,175.060000,NULL,{},10002
2024-03-25,10150,实时/日前申报均价,175.070000,NULL,{},10011
2024-03-26,10150,实时/日前申报均价,171.710000,NULL,{},10020
2024-03-27,10150,实时/日前申报均价,171.700000,NULL,{},10029
2024-03-28,10150,实时/日前申报均价,171.720000,NULL,{},10038
2024-03-29,10150,实时/日前申报均价,170.020000,NULL,{},10047
2024-03-30,10150,实时/日前申报均价,173.790000,NULL,{},10056
2024-03-31,10150,实时/日前申报均价,173.780000,NULL,{},10065
2024-04-01,10150,实时/日前申报均价,174.990000,NULL,{},10074
2024-04-02,10150,实时/日前申报均价,174.290000,NULL,{},10083
2024-04-03,10150,实时/日前申报均价,174.970000,NULL,{},10092
2024-04-04,10150,实时/日前申报均价,175.020000,NULL,{},10101
2024-04-05,10150,实时/日前申报均价,174.270000,NULL,{},10110
2024-04-06,10150,实时/日前申报均价,174.260000,NULL,{},10119
2024-04-07,10150,实时/日前申报均价,174.970000,NULL,{},10128
2024-04-08,10150,实时/日前申报均价,174.260000,NULL,{},10137
2024-04-09,10150,实时/日前申报均价,174.990000,NULL,{},10146
2024-04-10,10150,实时/日前申报均价,174.990000,NULL,{},10155
2024-04-11,10150,实时/日前申报均价,175.020000,NULL,{},10164
2024-04-12,10150,实时/日前申报均价,175.020000,NULL,{},10173
2024-04-13,10150,实时/日前申报均价,175.020000,NULL,{},10182
2024-04-14,10150,实时/日前申报均价,174.920000,NULL,{},10191
2024-04-15,10150,实时/日前申报均价,174.920000,NULL,{},10200
2024-04-16,10150,实时/日前申报均价,194.200000,NULL,{},10209
2024-04-17,10150,实时/日前申报均价,196.540000,NULL,{},10218
2024-04-18,10150,实时/日前申报均价,185.660000,NULL,{},10227
2024-04-19,10150,实时/日前申报均价,183.810000,NULL,{},10236
2024-04-20,10150,实时/日前申报均价,174.960000,NULL,{},10245
2024-04-21,10150,实时/日前申报均价,175.000000,NULL,{},10254
2024-04-23,10150,实时/日前申报均价,174.240000,NULL,{},10272
2024-04-24,10150,实时/日前申报均价,174.240000,NULL,{},10281
2024-04-25,10150,实时/日前申报均价,174.240000,NULL,{},10290
2024-04-26,10150,实时/日前申报均价,174.250000,NULL,{},10299
2024-04-27,10150,实时/日前申报均价,174.240000,NULL,{},10308
2024-04-28,10150,实时/日前申报均价,172.880000,NULL,{},10317
2024-04-29,10150,实时/日前申报均价,173.590000,NULL,{},10326
2024-04-30,10150,实时/日前申报均价,172.960000,NULL,{},10335
2024-05-01,10150,实时/日前申报均价,172.930000,NULL,{},10344
2024-05-02,10150,实时/日前申报均价,172.990000,NULL,{},10353
2024-05-03,10150,实时/日前申报均价,172.950000,NULL,{},10362
2024-05-04,10150,实时/日前申报均价,173.040000,NULL,{},10371
2024-05-05,10150,实时/日前申报均价,173.030000,NULL,{},10380
2024-05-06,10150,实时/日前申报均价,173.040000,NULL,{},10389
2024-05-07,10150,实时/日前申报均价,172.990000,NULL,{},10398
2024-05-08,10150,实时/日前申报均价,172.960000,NULL,{},10407
2024-05-09,10150,实时/日前申报均价,172.970000,NULL,{},10416
2024-05-10,10150,实时/日前申报均价,172.950000,NULL,{},10425
2024-05-11,10150,实时/日前申报均价,173.100000,NULL,{},10434
2024-05-12,10150,实时/日前申报均价,173.000000,NULL,{},10443
2024-05-13,10150,实时/日前申报均价,173.050000,NULL,{},10452
2024-05-15,10150,实时/日前申报均价,172.950000,NULL,{},10470
2024-05-16,10150,实时/日前申报均价,172.970000,NULL,{},10479
2024-05-17,10150,实时/日前申报均价,172.970000,NULL,{},10488
2024-05-18,10150,实时/日前申报均价,172.920000,NULL,{},10497
2024-05-19,10150,实时/日前申报均价,173.000000,NULL,{},10506
2024-05-20,10150,实时/日前申报均价,173.000000,NULL,{},10515
2024-05-21,10150,实时/日前申报均价,146.260000,NULL,{},10524
2024-05-22,10150,实时/日前申报均价,172.970000,NULL,{},10533
2024-05-23,10150,实时/日前申报均价,172.970000,NULL,{},10542
2024-05-24,10150,实时/日前申报均价,172.970000,NULL,{},10551
2024-05-25,10150,实时/日前申报均价,172.970000,NULL,{},10560
2024-05-26,10150,实时/日前申报均价,173.020000,NULL,{},10569
2024-05-27,10150,实时/日前申报均价,173.020000,NULL,{},10578
2024-05-28,10150,实时/日前申报均价,172.950000,NULL,{},10587
2024-05-29,10150,实时/日前申报均价,172.970000,NULL,{},10596
2024-05-30,10150,实时/日前申报均价,172.870000,NULL,{},10605
2024-05-31,10150,实时/日前申报均价,172.840000,NULL,{},10614
2024-06-01,10150,实时/日前申报均价,172.870000,NULL,{},10623
2024-06-02,10150,实时/日前申报均价,172.870000,NULL,{},10632
2024-06-03,10150,实时/日前申报均价,172.870000,NULL,{},10641
2024-06-04,10150,实时/日前申报均价,172.820000,NULL,{},10650
2024-06-07,10150,实时/日前申报均价,172.870000,NULL,{},10677
2024-06-08,10150,实时/日前申报均价,172.760000,NULL,{},10686
2024-06-09,10150,实时/日前申报均价,172.810000,NULL,{},10695
2024-06-10,10150,实时/日前申报均价,172.810000,NULL,{},10704
2024-06-11,10150,实时/日前申报均价,172.810000,NULL,{},10713
2024-06-12,10150,实时/日前申报均价,172.290000,NULL,{},10722
2024-06-13,10150,实时/日前申报均价,172.630000,NULL,{},10731
2024-06-14,10150,实时/日前申报均价,172.830000,NULL,{},10740
2024-06-15,10150,实时/日前申报均价,172.880000,NULL,{},10749
2024-06-20,10150,实时/日前申报均价,172.710000,NULL,{},10794
2024-06-21,10150,实时/日前申报均价,172.810000,NULL,{},10803
2024-06-22,10150,实时/日前申报均价,172.750000,NULL,{},10812
2024-06-23,10150,实时/日前申报均价,172.780000,NULL,{},10821
2024-06-24,10150,实时/日前申报均价,172.780000,NULL,{},10830
2024-06-25,10150,实时/日前申报均价,172.780000,NULL,{},10839
2024-06-26,10150,实时/日前申报均价,172.780000,NULL,{},10848
2024-06-27,10150,实时/日前申报均价,172.780000,NULL,{},10857
2024-06-28,10150,实时/日前申报均价,172.780000,NULL,{},10866
2024-06-29,10150,实时/日前申报均价,172.780000,NULL,{},10875
2024-06-30,10150,实时/日前申报均价,172.810000,NULL,{},10884
2024-06-30,10155,实时平均出清均价,287.750000,NULL,{},10883
2024-07-01,10150,实时/日前申报均价,172.693300,NULL,{},10893
2024-07-01,10152,日前平均出清均价,336.910000,NULL,{},10891
2024-07-01,10155,实时平均出清均价,177.330000,NULL,{},10892
2024-07-02,10150,实时/日前申报均价,172.806700,NULL,{},10902
2024-07-02,10152,日前平均出清均价,284.260000,NULL,{},10900
2024-07-02,10155,实时平均出清均价,355.190000,NULL,{},10901
2024-07-03,10150,实时/日前申报均价,172.776700,NULL,{},10911
2024-07-03,10152,日前平均出清均价,212.110000,NULL,{},10909
2024-07-03,10155,实时平均出清均价,326.990000,NULL,{},10910
2024-07-04,10150,实时/日前申报均价,172.806700,NULL,{},10920
