task,target_day,business_day,business_period,ds,hour_business,period,y_true,actual_available_at,source_file
dayahead,2026-08-06,2026-08-06,43,2026-08-06 10:45:00,11,33_64,418.16,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,73,2026-07-20 18:15:00,19,65_96,469.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-18,2026-07-18,18,2026-07-18 04:30:00,5,1_32,390.5,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-30,2026-07-30,64,2026-07-30 16:00:00,16,33_64,387.6,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,77,2026-07-19 19:15:00,20,65_96,396.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,86,2026-07-19 21:30:00,22,65_96,396.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,48,2026-07-29 12:00:00,12,33_64,331.14,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,6,2026-07-29 01:30:00,2,1_32,449.76,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,13,2026-07-29 03:15:00,4,1_32,416.21,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,88,2026-07-19 22:00:00,22,65_96,396.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,62,2026-07-29 15:30:00,16,33_64,400.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-24,2026-07-24,49,2026-07-24 12:15:00,13,33_64,172.02,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,20,2026-07-29 05:00:00,5,1_32,422.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,78,2026-07-19 19:30:00,20,65_96,396.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,80,2026-07-29 20:00:00,20,65_96,772.83,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,86,2026-07-29 21:30:00,22,65_96,772.83,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,81,2026-07-29 20:15:00,21,65_96,772.83,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-23,2026-07-23,78,2026-07-23 19:30:00,20,65_96,555.88,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,55,2026-07-16 13:45:00,14,33_64,352.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,49,2026-07-16 12:15:00,13,33_64,336.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,64,2026-07-16 16:00:00,16,33_64,708.32,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,76,2026-07-19 19:00:00,19,65_96,397.3,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,90,2026-07-16 22:30:00,23,65_96,464.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-17,2026-07-17,91,2026-07-17 22:45:00,23,65_96,386.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,69,2026-07-16 17:15:00,18,65_96,414.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,64,2026-07-20 16:00:00,16,33_64,134.98,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,78,2026-07-16 19:30:00,20,65_96,765.22,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,70,2026-07-20 17:30:00,18,65_96,399.81,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,51,2026-07-16 12:45:00,13,33_64,338.27,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,9,2026-07-20 02:15:00,3,1_32,432.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-30,2026-07-30,66,2026-07-30 16:30:00,17,65_96,399.21,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-17,2026-07-17,41,2026-07-17 10:15:00,11,33_64,401.28,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,71,2026-07-20 17:45:00,18,65_96,416.63,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,21,2026-07-16 05:15:00,6,1_32,401.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,34,2026-07-16 08:30:00,9,33_64,350.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,68,2026-07-16 17:00:00,17,65_96,411.67,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-18,2026-07-18,39,2026-07-18 09:45:00,10,33_64,-80.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,62,2026-07-16 15:30:00,16,33_64,395.26,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,79,2026-07-19 19:45:00,20,65_96,396.77,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-16,2026-07-16,63,2026-07-16 15:45:00,16,33_64,692.03,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-20,2026-07-20,89,2026-07-20 22:15:00,23,65_96,1500.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,17,2026-07-29 04:15:00,5,1_32,412.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-19,2026-07-19,30,2026-07-19 07:30:00,8,1_32,339.74,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,77,2026-07-29 19:15:00,20,65_96,772.83,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-17,2026-07-17,52,2026-07-17 13:00:00,13,33_64,375.34,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
dayahead,2026-07-29,2026-07-29,8,2026-07-29 02:00:00,2,1_32,434.0,2026-09-19T06:34:53.854728+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
