task,target_day,business_day,business_period,ds,hour_business,period,y_true,actual_available_at,source_file
realtime,2026-08-06,2026-08-06,79,2026-08-06 19:45:00,20,65_96,561.59,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,22,2026-07-20 05:30:00,6,1_32,431.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-18,2026-07-18,53,2026-07-18 13:15:00,14,33_64,-79.98,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-30,2026-07-30,1,2026-07-30 00:15:00,1,1_32,418.333,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,44,2026-07-19 11:00:00,11,33_64,246.788,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,30,2026-07-19 07:30:00,8,1_32,360.4,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,48,2026-07-29 12:00:00,12,33_64,341.368,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,68,2026-07-29 17:00:00,17,65_96,484.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,59,2026-07-29 14:45:00,15,33_64,410.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,27,2026-07-19 06:45:00,7,1_32,383.333,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,11,2026-07-29 02:45:00,3,1_32,418.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-24,2026-07-24,47,2026-07-24 11:45:00,12,33_64,325.159,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,61,2026-07-29 15:15:00,16,33_64,431.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,43,2026-07-19 10:45:00,11,33_64,128.615,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,41,2026-07-29 10:15:00,11,33_64,91.044,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,35,2026-07-29 08:45:00,9,33_64,314.388,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,39,2026-07-29 09:45:00,10,33_64,8.7,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-23,2026-07-23,43,2026-07-23 10:45:00,11,33_64,-80.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,16,2026-07-16 04:00:00,4,1_32,387.05,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,1,2026-07-16 00:15:00,1,1_32,394.571,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,2,2026-07-16 00:30:00,1,1_32,389.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,45,2026-07-19 11:15:00,12,33_64,309.787,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,26,2026-07-16 06:30:00,7,1_32,362.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-17,2026-07-17,36,2026-07-17 09:00:00,9,33_64,390.5,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,7,2026-07-16 01:45:00,2,1_32,400.7,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,8,2026-07-20 02:00:00,2,1_32,498.2,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,43,2026-07-16 10:45:00,11,33_64,326.838,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,2,2026-07-20 00:30:00,1,1_32,476.8,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,20,2026-07-16 05:00:00,5,1_32,390.385,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,71,2026-07-20 17:45:00,18,65_96,695.5,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-30,2026-07-30,8,2026-07-30 02:00:00,2,1_32,420.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-17,2026-07-17,86,2026-07-17 21:30:00,22,65_96,355.216,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,10,2026-07-20 02:30:00,3,1_32,440.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,56,2026-07-16 14:00:00,14,33_64,0.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,72,2026-07-16 18:00:00,18,65_96,416.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,6,2026-07-16 01:30:00,2,1_32,407.033,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-18,2026-07-18,82,2026-07-18 20:30:00,21,65_96,418.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,10,2026-07-16 02:30:00,3,1_32,396.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,42,2026-07-19 10:30:00,11,33_64,224.937,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-16,2026-07-16,9,2026-07-16 02:15:00,3,1_32,392.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-20,2026-07-20,28,2026-07-20 07:00:00,7,1_32,316.744,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,54,2026-07-29 13:30:00,14,33_64,366.3,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-19,2026-07-19,96,2026-07-20 00:00:00,24,65_96,406.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,44,2026-07-29 11:00:00,11,33_64,298.363,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-17,2026-07-17,19,2026-07-17 04:45:00,5,1_32,388.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,62,2026-07-29 15:30:00,16,33_64,444.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,32,2026-07-29 08:00:00,8,1_32,324.0,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
realtime,2026-07-29,2026-07-29,42,2026-07-29 10:30:00,11,33_64,123.7,2026-09-19T06:34:54.007461+00:00,/root/rivermind-data/electricity_forecast_model2.5/data/96/authoritative/pmos_96_全量.csv
