time,类型,日期,小时,实时电价,1.0模型预测实时电价,2.0模型预测实时电价,日前电价,1.0模型预测日前电价,2.0模型预测日前电价
2026-01-01 01:00:00,星期四,2026-01-01,1.0,501.074,331.3245,301.1894,292.6,344.9378,358.7906
2026-01-01 02:00:00,星期四,2026-01-01,2.0,484.259,324.2202,268.3496,251.5,339.245,351.9108
2026-01-01 03:00:00,星期四,2026-01-01,3.0,495.008,328.7881,310.4289,300.0,336.0327,341.7104
2026-01-01 04:00:00,星期四,2026-01-01,4.0,473.502,321.0337,296.532,282.65,333.3416,336.64
2026-01-01 05:00:00,星期四,2026-01-01,5.0,441.324,312.1363,263.583,251.2,326.0319,343.5819
2026-01-01 06:00:00,星期四,2026-01-01,6.0,409.302,298.1249,255.3028,245.0,321.817,330.4169
2026-01-01 07:00:00,星期四,2026-01-01,7.0,324.555,290.9642,256.7936,245.0,306.5475,297.1853
2026-01-01 08:00:00,星期四,2026-01-01,8.0,347.583,333.9985,303.0885,300.0,346.1113,350.4098
2026-01-01 09:00:00,星期四,2026-01-01,9.0,342.173,278.241,262.8741,275.425,259.5374,210.719
2026-01-01 10:00:00,星期四,2026-01-01,10.0,-22.374,88.0782,-80.0,62.56,130.9451,97.0343
2026-01-01 11:00:00,星期四,2026-01-01,11.0,-80.0,-51.3217,-80.0,0.0,-38.915,-6.2546
2026-01-01 12:00:00,星期四,2026-01-01,12.0,-80.0,-84.3854,-80.0,-44.0,-70.2132,-57.4767
2026-01-01 13:00:00,星期四,2026-01-01,13.0,-80.0,-83.3898,-80.0,-52.5,-78.5449,-63.2907
2026-01-01 14:00:00,星期四,2026-01-01,14.0,-80.0,-81.2191,-80.0,-53.0,-76.7142,-61.4244
2026-01-01 15:00:00,星期四,2026-01-01,15.0,-80.0,-86.6667,-80.0,7.75,-73.5673,-43.2456
2026-01-01 16:00:00,星期四,2026-01-01,16.0,-38.953,57.7454,195.5211,227.5,55.1248,94.1401
2026-01-01 17:00:00,星期四,2026-01-01,17.0,-15.218,284.9167,246.3166,245.0,235.0822,235.1727
2026-01-01 18:00:00,星期四,2026-01-01,18.0,-77.821,296.154,269.5305,262.9,278.32,273.1317
2026-01-01 19:00:00,星期四,2026-01-01,19.0,-40.962,290.2551,253.2331,245.0,267.8366,267.3225
2026-01-01 20:00:00,星期四,2026-01-01,20.0,-54.637,289.0429,251.1728,245.0,265.7321,268.6902
2026-01-01 21:00:00,星期四,2026-01-01,21.0,45.665,293.7383,249.6536,245.0,267.9584,273.9227
2026-01-01 22:00:00,星期四,2026-01-01,22.0,296.364,286.6831,250.0547,245.0,249.3114,251.0666
2026-01-01 23:00:00,星期四,2026-01-01,23.0,291.119,280.5474,235.3721,245.0,228.6046,231.694
2026-01-02 00:00:00,星期四,2026-01-01,24.0,265.849,268.0046,236.385,245.0,211.8534,219.1615
2026-01-02 01:00:00,星期五,2026-01-02,1.0,435.449,209.039,318.6672,347.5,189.7539,231.1148
2026-01-02 02:00:00,星期五,2026-01-02,2.0,275.603,202.9074,342.9992,360.0,190.0547,229.1438
2026-01-02 03:00:00,星期五,2026-01-02,3.0,501.461,240.6712,357.3807,360.0,205.5283,273.7231
2026-01-02 04:00:00,星期五,2026-01-02,4.0,377.456,240.9562,339.9047,357.0,199.6668,270.1968
2026-01-02 05:00:00,星期五,2026-01-02,5.0,341.952,241.2196,341.8389,348.0,202.4496,248.7931
2026-01-02 06:00:00,星期五,2026-01-02,6.0,323.574,213.4922,352.6138,360.0,204.7565,221.7576
2026-01-02 07:00:00,星期五,2026-01-02,7.0,299.097,176.9595,312.03,332.6,185.9748,180.9238
